mean_Blue,mean_Green,mean_Red,mean_NIR,mean_SWIR1,mean_SWIR2,mean_NDVI,mean_NDBI,class
0.13940696031778904,0.19022271061410329,0.21641311521047868,0.26498793933364345,0.2873992422082101,0.255278993391874,0.10142817038307377,0.03967626176494953,1
0.1494655250156838,0.207252684321577,0.2395038485078321,0.2875922764260018,0.31910560062269644,0.2859768741851768,0.09215551397881215,0.05099743851454674,1
0.1543646564054336,0.21526883729401125,0.249654518446355,0.2990527628319056,0.3324161051170619,0.2984896840773211,0.09003427020989814,0.05273695697355117,1
0.14160386697987307,0.1939325864014388,0.22154486424062958,0.27315953050540687,0.2960576703471522,0.2622954069344529,0.10489424093028317,0.039394834524026014,1
0.14024177577852787,0.1936641254491507,0.22096158070846716,0.27579072958916323,0.29470314796793334,0.2616720166355891,0.11134714531981571,0.032327236614160836,1
0.14963959323035347,0.2074483765496148,0.24080591731601292,0.2879852188958062,0.3227153884039985,0.289879666434394,0.08950913614696926,0.0568306909667121,1
0.14151915108285298,0.19445061102146055,0.22087341401635147,0.26816737942579316,0.2905188304621999,0.2563530991717083,0.09712804236063143,0.039793753042453674,1
0.14862648321657765,0.20423091187769052,0.23257387900839047,0.2822265235745177,0.30754505858129383,0.27285182719327966,0.09684981132040218,0.042453765869140625,1
0.14772861144121954,0.2029850202448228,0.23366852367625518,0.2888990290024701,0.31412141463335824,0.2790791567634134,0.10581190445843865,0.0408323091619155,1
0.14184993921324265,0.19594372150509856,0.22319749344226925,0.2742336628048919,0.29882058431935865,0.26455684040868005,0.10263258911842524,0.042794795923454816,1
0.1386953325413946,0.1904926157709378,0.21550776353522913,0.2674938315775857,0.2855908977451609,0.25223791777197996,0.10779951579535185,0.03253145360234958,1
0.15111796061197916,0.2141922668174461,0.253359388422083,0.3073133539270472,0.34487992745858653,0.304605625293873,0.09629842087074562,0.057349558229799626,1
0.14363828301429749,0.20033355553944907,0.22828098138173422,0.2995203137397766,0.3092856804529826,0.2677566607793172,0.13516239325205484,0.015864233175913494,1
0.15170750473484848,0.21211333708329635,0.2453074888749556,0.30809749256480823,0.34207416303230054,0.2968341653997248,0.11423858006795247,0.05235409736633301,1
0.15327970371689909,0.21567145059275072,0.24890167768611465,0.29798214934593026,0.33272871860238007,0.3005658748537995,0.08998490488806436,0.05488175015116847,1
0.14969242320341222,0.2052610341240378,0.23643754510318532,0.2814016342163086,0.3134634354535271,0.28168756821576285,0.08681967679192037,0.05388612256330602,1
0.14989429201398577,0.21016956056867328,0.2435647691999163,0.30128255571637835,0.335454831804548,0.2964449201311384,0.10705253737313407,0.052024034091404506,1
0.1299302855203318,0.1777527831321539,0.2008425468622252,0.2527958182401435,0.2677935666816179,0.23531157471412836,0.11549345282621162,0.028023972067722055,1
0.13589049577713014,0.1849738597869873,0.21224288940429686,0.25701427459716797,0.28663313388824463,0.2547482490539551,0.09543952941894532,0.0542500376701355,1
0.13290628572789634,0.18305822698081411,0.20615689347429975,0.2707087819169207,0.27869247808689024,0.2409913365433856,0.13582662256752573,0.01436534451275337,1
0.1567109166359415,0.21867401745854592,0.2533408768323003,0.30489664661641025,0.3354407329948581,0.30051402656399473,0.09242070451074717,0.04757259816539531,1
